ID;County;County_seat;Population;Area_sq_mi;Area_km2
1;Alameda ;Oakland;1622188;738;1911
2;Alpine ;Markleeville;1141;739;1914
3;Amador ;Jackson;41811;606;157
4;Butte ;Oroville;207172;164;4248
5;Calaveras ;San Andreas;46565;102;2642
6;Colusa ;Colusa;22037;1151;2981
7;Contra Costa ;Martinez;1155025;720;1865
8;Del Norte ;Crescent City;26589;1008;2611
9;El Dorado ;Placerville;192215;1712;4434
10;Fresno ;Fresno;1017162;5963;15444
11;Glenn ;Willows;28129;1315;3406
12;Humboldt ;Eureka;133985;3573;9254
13;Imperial ;El Centro;179057;4175;10813
14;Inyo ;Independence;18527;10192;26397
15;Kern ;Bakersfield;91382;8142;21088
16;Kings ;Hanford;152682;139;36
17;Lake ;Lakeport;67878;1258;3258
18;Lassen ;Susanville;28861;4558;11805
19;Los Angeles ;Los Angeles City;9663345;406;10515
20;Madera ;Madera;162858;2138;5537
21;Marin ;San Rafael;254407;520;1347
22;Mariposa ;Mariposa;16919;1451;3758
23;Mendocino ;Ukiah;89108;3509;9088
24;Merced ;Merced;29192;1929;4996
25;Modoc ;Alturas;85;3944;10215
26;Mono ;Bridgeport;13066;3044;7884
27;Monterey ;Salinas;430723;3322;8604
28;Napa ;Napa;133216;754;1953
29;Nevada ;Nevada City;102037;958;2481
30;Orange ;Santa Ana;3135755;948;2455
31;Placer ;Auburn;423561;1407;3644
32;Plumas ;Quincy;19131;2554;6615
33;Riverside ;Riverside;2492442;7208;18669
34;Sacramento ;Sacramento;1584288;966;2502
35;San Benito ;Hollister;68175;1389;3597
36;San Bernardino ;San Bernardino;2195611;20062;5196
37;San Diego ;Saint Didacus;3269973;4204;10888
38;San Francisco;San Francisco City;808988;47;122
39;San Joaquin ;Stockton;800965;1399;3623
40;San Luis Obispo ;San Luis Obispo City;281639;3304;8557
41;San Mateo ;Redwood City;726353;449;1163
42;Santa Barbara ;Santa Barbara;441257;2738;7091
43;Santa Clara ;San Jose;1877592;1291;3344
44;Santa Cruz ;Santa Cruz;261547;446;1155
45;Shasta ;Redding;180366;3786;9806
46;Sierra ;Downieville;32;953;2468
47;Siskiyou ;Yreka;42905;6287;16283
48;Solano ;Fairfield;449218;828;2145
49;Sonoma ;Santa Rosa;481812;1576;4082
50;Stanislaus ;Modesto;55143;1495;3872
51;Sutter ;Yuba City;97948;603;1562
52;Tehama ;Red Bluff;64896;2951;7643
53;Trinity ;Weaverville;1567;3179;8234
54;Tulare ;Visalia;479468;4824;12494
55;Tuolumne ;Sonora;54204;2236;5791
56;Ventura ;Ventura;82959;1846;4781
57;Yolo ;Woodland;220544;1012;2621
58;Yuba ;Marysville;85722;630;1632
