date,region,city,units,revenue,cost,Marketing_Spend
2025-05-12,Alameda,Oakland,150,3057.48,2140.24,458.62
2025-01-08,Sonoma,Healdsburg,178,3351.85,2346.29,502.78
2025-04-20,San Mateo,Redwood City,126,2365.56,1655.89,354.83
2025-01-02,Solano,Vacaville,145,2777.69,1944.38,416.65
2025-03-29,Sonoma,Healdsburg,127,2433.19,1703.23,364.98
2025-04-21,Santa Clara,Mountain View,160,3883.92,2718.74,582.59
2025-03-27,Napa,Yountville,71,1348.44,943.91,202.27
2025-06-05,San Mateo,San Mateo,116,2145.64,1501.95,321.85
2025-03-13,Solano,Vacaville,98,1815.85,1271.09,272.38
2025-05-19,San Mateo,Daly City,142,3487.35,2441.14,523.1
2025-06-25,San Francfisco,San Francisco,181,3997.31,2798.12,599.6
2025-06-12,San Mateo,Daly City,133,3234.58,2264.21,485.19
2025-01-23,San Francisco,San Francisco,174,4168.1,2917.67,625.22
2025-05-12,San Mateo,Redwood City,172,4296.37,3007.46,644.46
2025-01-11,San Francisco,San Francisco,106,1942.47,1359.73,291.37
2025-03-12,San Mateo,Redwood City,76,1416.61,991.63,212.49
2025-02-10,San Mateo,Daly City,74,1753.57,1227.5,263.04
2025-05-20,Contra Costa,Richmond,72,1625.45,1137.82,243.82
2025-05-21,Santa Clara,San Jose,125,2923.17,2046.22,438.48
2025-04-25,San Mateo,San Mateo,90,1643.45,11504.1,246.52
2025-01-05,Sonoma,Healdsburg,152,2770.96,1939.67,415.64
2025-02-02,Sonoma,Petaluma,131,3123.44,2186.41,468.52
2025-01-14,Solano,Vallejo,170,4031.0,2821.7,604.65
2025-01-16,Sonoma,Petaluma,194,3665.8,2566.06,549.87
2025-03-26,Sonoma,Petaluma,95,2319.52,1623.66,347.93
2025-04-13,Marin,San Rafael,181,4044.75,2831.32,606.71
2025-06-03,Sonoma,Petaluma,183,4459.12,3121.38,668.87
2025-01-10,Sonoma,Healdsburg,72,1343.09,940.16,201.46
2025-03-29,San Mateo,Daly City,183,4117.19,2882.03,617.58
2025-02-19,Alameda,Fremont,162,3536.95,2475.86,530.54
2025-03-13,Sonoma,Petaluma,154,3034.92,2124.44,455.24
2025-04-19,Santa Clara,San Jose,123,2433.03,1703.12,364.95
2025-04-01,San Mateo,Redwood City,100,2051.0,1435.7,307.65
2025-02-12,San Mateo,Daly City,200,4371.56,3060.09,655.73
2025-01-18,Contra Costa,Richmond,72,1416.02,991.21,212.4
2025-02-08,Solano,Vallejo,69,1532.71,1072.9,229.91
2025-02-02,Alameda,Berkeley,141,3045.8,2132.06,456.87
2025-02-06,Santa Clara,Palo Alto,52,1144.71,801.3,171.71
2025-03-03,Napa,Napa,131,2766.85,1936.79,415.03
2025-01-21,Alameda,Berkeley,106,1917.12,1341.98,287.57
2025-05-29,Solano,Vacaville,181,3315.54,2320.88,497.33
2025-04-14,Solano,Vallejo,190,4631.87,3242.31,694.78
2025-04-27,Solano,Vallejo,65,1225.81,858.07,183.87
2025-06-01,Contra Costa,Concord,137,2730.1,1911.07,409.51
2025-05-20,Santa Clara,Palo Alto,185,4049.27,2834.49,607.39
2025-03-19,Solano,Fairfield,59,1393.65,975.55,209.05
2025-01-16,Alameda,Berkeley,109,2300.22,1610.15,345.03
2025-04-11,Solano,Fairfield,96,2375.29,1662.7,356.29
2025-04-23,San Francisco,San Francisco,191,4112.57,2878.8,616.89
2025-01-09,Marin,Novato,129,2460.17,1722.12,369.03
2025-04-02,Sonoma,Healdsburg,93,1987.59,1391.31,298.14
2025-03-05,San Mateo,San Mateo,66,1228.81,860.17,184.32
2025-03-26,San Mateo,Daly City,147,2719.29,1903.5,407.89
2025-04-09,Contra Costa,Concord,153,3621.41,2534.99,543.21
2025-02-07,Contra Costa,Walnut Creek,200,3802.56,2661.79,570.38
2025-04-25,Marin,Novato,194,4690.11,3283.08,703.52
2025-05-17,Sonoma,Petaluma,114,2199.79,1539.85,329.97
2025-06-15,Napa,Napa,64,1537.51,1076.26,230.63
2025-06-03,San Mateo,Daly City,90,2188.12,1531.68,328.22
2025-05-08,San Francisco,San Francisco,108,2224.99,1557.49,333.75
2025-01-29,Alameda,Berkeley,181,3430.2,2401.14,514.53
2025-05-14,Contra Costa,Richmond,79,1451.27,1015.89,217.69
2025-06-13,San Francisco,San Francisco,193,4061.22,2842.85,609.18
2025-02-01,San Francisco,San Francisco,171,3526.35,2468.44,528.95
2025-06-10,Santa Clara,Palo Alto,88,2112.68,1478.88,316.9
2025-02-18,Santa Clara,San Jose,134,2765.53,1935.87,414.83
2025-06-20,San Mateo,San Mateo,156,3189.58,2232.71,478.44
2025-02-08,Marin,Novato,121,2520.94,1764.66,378.14
2025-02-19,San Francisco,San Francisco,183,3846.28,2692.4,576.94
2025-04-06,Santa Clara,San Jose,78,1467.34,1027.14,220.1
2025-05-10,Solano,Vacaville,101,1925.04,1347.53,288.76
2025-02-18,Sonoma,Healdsburg,64,1179.83,825.88,176.97
2025-01-30,Contra Costa,Walnut Creek,195,4597.87,3218.51,689.68
2025-01-05,Sonoma,Petaluma,127,2631.6,1842.12,394.74
2025-05-02,San Francisco,San Francisco,58,1104.48,773.14,165.67
2025-06-27,San Francisco,San Francisco,146,3389.95,2372.96,508.49
2025-04-13,Marin,Novato,125,2727.46,1909.22,409.12
2025-04-03,Solano,Fairfield,193,4608.24,3225.77,691.24
2025-04-11,Alameda,Fremont,177,4043.71,2830.6,606.56
2025-01-03,Marin,Novato,126,2819.58,1973.71,422.94
2025-05-04,San Mateo,San Mateo,115,2668.45,1867.91,400.27
2025-06-18,Marin,San Rafael,184,3683.81,2578.67,552.57
2025-04-07,Sonoma,Petaluma,191,3763.74,2634.62,564.56
2025-02-15,Sonoma,Petaluma,184,3514.01,2459.81,527.1
2025-04-29,Contra Costa,Concord,144,2798.92,1959.24,419.84
2025-01-07,Marin,Novato,139,2553.79,1787.65,383.07
2025-06-07,Napa,Napa,145,2724.21,1906.95,408.63
2025-04-10,Solano,Vallejo,51,964.89,675.42,144.73
2025-06-25,San Mateo,San Mateo,102,2372.42,1660.69,355.86
2025-05-27,Solano,Vacaville,51,1094.03,765.82,164.1
2025-05-02,Contra Costa,Richmond,172,3127.21,2189.05,469.08
2025-03-03,Solano,Fairfield,109,2507.52,1755.26,376.13
2025-04-02,Sonoma,Petaluma,92,1890.61,1323.43,283.59
